x,y,heading,curvature
0.3300,2.7874,-2.925149,-8.950954
0.2800,2.7764,-2.895246,0.610903
0.2300,2.7622,-2.847709,0.688323
0.1800,2.7461,-2.822883,0.263261
0.1300,2.7292,-2.819794,-0.145330
0.0800,2.7128,-2.838311,-0.563131
0.0300,2.6980,-2.879184,-1.267086
-0.0200,2.6859,-2.970998,-2.310883
-0.0700,2.6807,-3.114450,-2.633783
-0.1200,2.6832,3.050443,-1.599807
-0.1700,2.6899,3.007559,-0.953429
-0.2200,2.6967,2.956245,-1.615125
-0.2735,2.7093,2.839129,-1.882275
-0.3241,2.7292,2.744752,-1.600791
-0.3722,2.7506,2.668571,-1.555920
-0.4183,2.7774,2.584855,-1.465839
-0.4663,2.8092,2.504739,-1.477230
-0.5102,2.8454,2.412568,-1.381632
-0.5510,2.8848,2.347986,-1.227422
-0.5895,2.9260,2.276310,-1.223931
-0.6267,2.9737,2.207305,-0.791289
-0.6633,3.0259,2.175218,-0.246825
-0.7005,3.0806,2.173852,0.301802
-0.7390,3.1357,2.215945,0.987400
-0.7798,3.1859,2.307694,1.484206
-0.8237,3.2291,2.400091,1.284910
-0.8717,3.2701,2.469556,1.097711
-0.9178,3.3039,2.532384,1.075732
-0.9659,3.3358,2.589656,1.352394
-1.0165,3.3647,2.690012,1.401319
-1.0700,3.3863,2.754023,0.910762
-1.1200,3.4070,2.791478,0.601987
-1.1700,3.4229,2.816452,-0.111657
-1.2200,3.4407,2.779949,-0.747880
-1.2700,3.4607,2.736755,-0.383014
-1.3200,3.4835,2.737520,0.102003
-1.3700,3.5034,2.747894,0.245901
-1.4200,3.5251,2.764211,0.879740
-1.4700,3.5431,2.844748,1.293857
-1.5200,3.5557,2.898105,1.029899
-1.5700,3.5679,2.950732,1.314821
-1.6200,3.5750,3.032525,1.244508
-1.6700,3.5789,3.075175,0.786623
-1.7200,3.5816,3.111285,-0.039020
-1.7700,3.5819,3.072646,-0.895808
-1.8235,3.5888,3.017505,-0.760010
-1.8741,3.5949,2.990977,-0.244931
-1.9222,3.6038,2.994447,0.910338
-1.9718,3.6094,3.081297,2.115810
-2.0204,3.6097,-3.075375,3.118442
-2.0660,3.6031,-2.902036,4.407029
-2.1069,3.5886,-2.680563,5.634821
-2.1421,3.5653,-2.427690,6.019886
-2.1709,3.5331,-2.179524,5.182159
-2.1930,3.4923,-1.969770,3.747553
-2.2087,3.4434,-1.811292,2.299590
-2.2187,3.3876,-1.709117,1.483652
-2.2240,3.3335,-1.641715,0.961322
-2.2263,3.2800,-1.605747,1.277186
-2.2276,3.2300,-1.507532,1.551459
-2.2200,3.1800,-1.453688,-0.403358
-2.2159,3.1300,-1.548628,-1.758870
-2.2178,3.0800,-1.629101,-1.161470
-2.2217,3.0300,-1.665086,-0.625075
-2.2272,2.9800,-1.691920,-0.442612
-2.2339,2.9300,-1.709715,-0.263720
-2.2412,2.8800,-1.718580,-0.087570
-2.2488,2.8300,-1.718580,0.087570
-2.2561,2.7800,-1.709715,0.263720
-2.2628,2.7300,-1.691920,0.442612
-2.2683,2.6800,-1.665086,0.625075
-2.2722,2.6300,-1.629101,0.810328
-2.2741,2.5800,-1.583918,0.995210
-2.2735,2.5300,-1.529643,0.482930
-2.2700,2.4800,-1.535517,-0.410993
-2.2700,2.4300,-1.570796,-0.352938
-2.2700,2.3800,-1.570796,0.000000
-2.2700,2.3300,-1.570796,0.000000
-2.2700,2.2800,-1.570796,0.000000
-2.2700,2.2300,-1.570796,0.000000
-2.2700,2.1800,-1.570796,0.000000
-2.2700,2.1300,-1.570796,0.000000
-2.2700,2.0800,-1.570796,0.000000
-2.2700,2.0300,-1.570796,0.000000
-2.2700,1.9800,-1.570796,0.000000
-2.2700,1.9300,-1.570796,0.000000
-2.2700,1.8800,-1.570796,0.000000
-2.2700,1.8300,-1.570796,0.000000
-2.2700,1.7800,-1.570796,0.000000
-2.2700,1.7300,-1.570796,0.000000
-2.2700,1.6800,-1.570796,0.000000
-2.2700,1.6300,-1.570796,0.000000
-2.2700,1.5800,-1.570796,0.000000
-2.2700,1.5300,-1.570796,0.000000
-2.2700,1.4800,-1.570796,0.000000
-2.2700,1.4300,-1.570796,0.000000
-2.2700,1.3800,-1.570796,0.000000
-2.2700,1.3300,-1.570796,0.000000
-2.2700,1.2800,-1.570796,0.000000
-2.2700,1.2300,-1.570796,0.000000
-2.2700,1.1800,-1.570796,0.000000
-2.2700,1.1300,-1.570796,0.000000
-2.2700,1.0800,-1.570796,0.000000
-2.2700,1.0300,-1.570796,0.000000
-2.2700,0.9800,-1.570796,0.000000
-2.2700,0.9300,-1.570796,0.000000
-2.2700,0.8800,-1.570796,-0.352938
-2.2700,0.8300,-1.606076,-0.750840
-2.2735,0.7800,-1.644526,-0.231467
-2.2776,0.7265,-1.631565,0.628829
-2.2799,0.6759,-1.575840,1.566954
-2.2781,0.6278,-1.479343,2.242698
-2.2709,0.5782,-1.358822,2.608177
-2.2570,0.5296,-1.213870,3.082108
-2.2358,0.4840,-1.046764,3.484168
-2.2070,0.4431,-0.865113,3.655268
-2.1709,0.4079,-0.681560,3.498637
-2.1281,0.3791,-0.509837,3.068381
-2.0799,0.3570,-0.360004,2.516564
-2.0276,0.3413,-0.236752,1.970865
-1.9735,0.3313,-0.141132,1.474840
-1.9200,0.3260,-0.073730,1.028050
-1.8700,0.3237,-0.036183,1.030438
-1.8200,0.3224,0.028047,1.125359
-1.7700,0.3265,0.076322,0.071767
-1.7200,0.3300,0.035279,-0.763273
-1.6700,0.3300,0.000000,-0.352938
-1.6200,0.3300,0.000000,0.000000
-1.5700,0.3300,0.000000,0.000000
-1.5200,0.3300,0.000000,0.000000
-1.4700,0.3300,0.000000,0.000000
-1.4200,0.3300,0.000000,0.000000
-1.3700,0.3300,0.000000,0.000000
-1.3200,0.3300,0.000000,0.000000
-1.2700,0.3300,0.000000,0.000000
-1.2200,0.3300,0.000000,0.000000
-1.1700,0.3300,0.000000,0.000000
-1.1200,0.3300,0.000000,0.000000
-1.0700,0.3300,0.000000,0.000000
-1.0200,0.3300,0.000000,0.000000
-0.9700,0.3300,0.000000,0.000000
-0.9200,0.3300,0.000000,0.000000
-0.8700,0.3300,0.000000,0.000000
-0.8200,0.3300,0.000000,0.000000
-0.7700,0.3300,0.000000,0.000000
-0.7200,0.3300,0.000000,0.352938
-0.6700,0.3300,0.035279,0.410993
-0.6200,0.3335,0.041153,-0.482930
-0.5700,0.3341,-0.013121,-0.995210
-0.5200,0.3322,-0.058305,-0.810328
-0.4700,0.3283,-0.094290,-0.625075
-0.4200,0.3228,-0.121124,-0.442612
-0.3700,0.3161,-0.138918,0.079116
-0.3200,0.3088,-0.113090,0.315147
-0.2700,0.3048,-0.107279,-0.386912
-0.2200,0.2980,-0.151765,-0.699297
-0.1700,0.2895,-0.178181,-0.345066
-0.1200,0.2800,-0.186932,0.000000
-0.0700,0.2705,-0.178181,0.345066
-0.0200,0.2620,-0.151765,0.699297
0.0300,0.2552,-0.107279,0.386912
0.0800,0.2512,-0.113090,-0.315147
0.1300,0.2439,-0.138918,-0.079116
0.1800,0.2372,-0.121124,0.442612
0.2300,0.2317,-0.094290,0.973331
0.2800,0.2278,-0.023073,1.225256
0.3300,0.2294,0.028047,0.510705
0.3800,0.2306,0.028047,-0.510705
0.4300,0.2322,-0.023073,-1.225256
0.4800,0.2283,-0.094290,-0.973331
0.5300,0.2228,-0.121124,-0.442612
0.5800,0.2161,-0.138918,-0.263720
0.6300,0.2088,-0.147783,-0.087570
0.6800,0.2012,-0.147783,0.087570
0.7300,0.1939,-0.138918,0.263720
0.7800,0.1872,-0.121124,0.442612
0.8300,0.1817,-0.094290,0.625075
0.8800,0.1778,-0.058305,0.810328
